Huffman Encoding Report (Word-Level)
Total Tokens: 2291808
Unique Symbols: 31615
================================================================================
Symbol               | Frequency  | Code                 | Bits Used
late                 | 211        | 0101101110111        | 2743
Most                 | 210        | 0101101110110        | 2730
field                | 210        | 0101101110101        | 2730
born                 | 210        | 0101101110100        | 2730
MACBETH              | 209        | 0101101100011        | 2717
brought              | 209        | 0101101100010        | 2717
CLEOPATRA            | 207        | 0101100110001        | 2691
others               | 207        | 0101100110000        | 2691
YORK                 | 207        | 0101100101011        | 2691
air                  | 206        | 0101100100001        | 2678
while                | 206        | 0101100100100        | 2678
Speak                | 205        | 0101100011010        | 2665
years                | 204        | 0101001000110        | 2652
Another              | 204        | 0101001110101        | 2652
Brutus               | 204        | 0101001110010        | 2652
SYRACUSE             | 204        | 0101001101111        | 2652
Say                  | 203        | 0101001000010        | 2639
Thus                 | 202        | 0100110100111        | 2626
ROSALIND             | 202        | 0100110101000        | 2626
country              | 201        | 0100110000110        | 2613
grave                | 201        | 0100110100000        | 2613
happy                | 201        | 0100110100001        | 2613
Farewell             | 201        | 0100110100110        | 2613
general              | 200        | 0100011111010        | 2600
MARGARET             | 200        | 0100011110101        | 2600
free                 | 199        | 0100010111110        | 2587
sit                  | 199        | 0100010110101        | 2587
known                | 199        | 0100011100010        | 2587
virtue               | 199        | 0100011100011        | 2587
over                 | 199        | 0100010111101        | 2587
Alas                 | 199        | 0100010111111        | 2587
further              | 199        | 0100011100000        | 2587
enter                | 199        | 0100011100001        | 2587
Mistress             | 199        | 0100010111100        | 2587
believe              | 198        | 0100010101011        | 2574
holy                 | 198        | 0100010101110        | 2574
pleasure             | 197        | 0100010001110        | 2561
side                 | 197        | 0100010001010        | 2561
French               | 197        | 0100010001011        | 2561
given                | 196        | 0100001011010        | 2548
hard                 | 196        | 0100001011101        | 2548
wear                 | 195        | 0100001001101        | 2535
MESSENGER            | 195        | 0100001001001        | 2535
read                 | 194        | 0100001000001        | 2522
foot                 | 194        | 0100001001000        | 2522
sound                | 194        | 0100000111100        | 2522
Marry                | 193        | 0100000100011        | 2509
uncle                | 193        | 0100000100010        | 2509
comfort              | 192        | 0001110101000        | 2496
need                 | 192        | 0100000001000        | 2496
LEAR                 | 191        | 0001110100010        | 2483
Room                 | 191        | 0001110010111        | 2483
serve                | 191        | 0001110100100        | 2483
ho                   | 191        | 0001110010110        | 2483
draw                 | 190        | 0001110000011        | 2470
sake                 | 190        | 0001110001000        | 2470
weep                 | 189        | 0001110000000        | 2457
prince               | 189        | 0001110000001        | 2457
music                | 188        | 0001011100110        | 2444
bound                | 188        | 0001011110111        | 2444
Madam                | 188        | 0001011110000        | 2444
warrant              | 188        | 0001011100000        | 2444
THIRD                | 187        | 0001011001111        | 2431
praise               | 187        | 0001011011001        | 2431
Make                 | 187        | 0001011011100        | 2431
Since                | 187        | 0001011000111        | 2431
ground               | 187        | 0001011001110        | 2431
Tell                 | 187        | 0001011011000        | 2431
marry                | 187        | 0001011011010        | 2431
gracious             | 186        | 0001011000101        | 2418
heavy                | 186        | 0001010110001        | 2418
run                  | 186        | 0001011000010        | 2418
ears                 | 186        | 0001011000001        | 2418
WARWICK              | 186        | 0001011000110        | 2418
FORD                 | 186        | 0001010110000        | 2418
women                | 185        | 0001010101001        | 2405
goes                 | 185        | 0001010101010        | 2405
